text,shares,likes,comments,label
Sample news article content 1110. This is synthetic text for training.,2581,600,616,FAKE
Sample news article content 1111. This is synthetic text for training.,1093,4284,148,FAKE
Sample news article content 1112. This is synthetic text for training.,4500,9180,1295,REAL
Sample news article content 1113. This is synthetic text for training.,607,4483,1811,FAKE
Sample news article content 1114. This is synthetic text for training.,1540,5901,298,FAKE
Sample news article content 1115. This is synthetic text for training.,2875,6129,171,FAKE
Sample news article content 1116. This is synthetic text for training.,3191,1754,46,FAKE
Sample news article content 1117. This is synthetic text for training.,1837,2464,625,FAKE
Sample news article content 1118. This is synthetic text for training.,689,4482,1810,FAKE
Sample news article content 1119. This is synthetic text for training.,3759,9686,1839,REAL
Sample news article content 1120. This is synthetic text for training.,2949,9044,206,REAL
Sample news article content 1121. This is synthetic text for training.,2103,7400,452,FAKE
Sample news article content 1122. This is synthetic text for training.,365,6806,1418,FAKE
Sample news article content 1123. This is synthetic text for training.,3575,8643,1998,FAKE
Sample news article content 1124. This is synthetic text for training.,4550,7396,924,REAL
Sample news article content 1125. This is synthetic text for training.,4199,7338,753,REAL
Sample news article content 1126. This is synthetic text for training.,4172,9950,1324,REAL
Sample news article content 1127. This is synthetic text for training.,4325,5241,707,REAL
Sample news article content 1128. This is synthetic text for training.,2378,7394,1008,REAL
Sample news article content 1129. This is synthetic text for training.,1205,6437,675,REAL
Sample news article content 1130. This is synthetic text for training.,4988,4695,1199,REAL
Sample news article content 1131. This is synthetic text for training.,3839,2588,854,REAL
Sample news article content 1132. This is synthetic text for training.,2735,1782,782,REAL
Sample news article content 1133. This is synthetic text for training.,3347,5947,1133,FAKE
Sample news article content 1134. This is synthetic text for training.,1675,6594,683,FAKE
Sample news article content 1135. This is synthetic text for training.,298,3520,962,FAKE
Sample news article content 1136. This is synthetic text for training.,956,9971,863,FAKE
Sample news article content 1137. This is synthetic text for training.,1114,3218,1225,REAL
Sample news article content 1138. This is synthetic text for training.,2505,3757,167,REAL
Sample news article content 1139. This is synthetic text for training.,1474,4016,1637,FAKE
Sample news article content 1140. This is synthetic text for training.,4460,2837,85,REAL
Sample news article content 1141. This is synthetic text for training.,4446,6000,1677,FAKE
Sample news article content 1142. This is synthetic text for training.,3726,7034,1982,REAL
Sample news article content 1143. This is synthetic text for training.,3471,7309,848,FAKE
Sample news article content 1144. This is synthetic text for training.,2828,4239,1748,REAL
Sample news article content 1145. This is synthetic text for training.,2850,4428,1074,REAL
Sample news article content 1146. This is synthetic text for training.,2506,9611,1135,FAKE
Sample news article content 1147. This is synthetic text for training.,3770,4150,1486,REAL
Sample news article content 1148. This is synthetic text for training.,2964,9522,441,FAKE
Sample news article content 1149. This is synthetic text for training.,4594,1446,270,FAKE
Sample news article content 1150. This is synthetic text for training.,949,9632,1600,FAKE
Sample news article content 1151. This is synthetic text for training.,4603,6468,343,FAKE
Sample news article content 1152. This is synthetic text for training.,2850,5790,1206,REAL
Sample news article content 1153. This is synthetic text for training.,165,4175,502,REAL
Sample news article content 1154. This is synthetic text for training.,3486,5080,1867,REAL
Sample news article content 1155. This is synthetic text for training.,2509,864,1033,FAKE
Sample news article content 1156. This is synthetic text for training.,919,6860,493,REAL
Sample news article content 1157. This is synthetic text for training.,113,8663,1257,FAKE
Sample news article content 1158. This is synthetic text for training.,3504,6217,1321,REAL
Sample news article content 1159. This is synthetic text for training.,991,5672,243,REAL
Sample news article content 1160. This is synthetic text for training.,3839,1502,1532,REAL
Sample news article content 1161. This is synthetic text for training.,1258,4684,1374,FAKE
Sample news article content 1162. This is synthetic text for training.,3426,1410,266,REAL
Sample news article content 1163. This is synthetic text for training.,514,3770,1653,REAL
Sample news article content 1164. This is synthetic text for training.,4804,4659,1679,FAKE
Sample news article content 1165. This is synthetic text for training.,3196,4001,892,REAL
Sample news article content 1166. This is synthetic text for training.,4434,3483,200,FAKE
Sample news article content 1167. This is synthetic text for training.,2584,4562,238,REAL
Sample news article content 1168. This is synthetic text for training.,67,598,1357,FAKE
Sample news article content 1169. This is synthetic text for training.,1596,9183,914,FAKE
Sample news article content 1170. This is synthetic text for training.,4478,3041,1438,REAL
Sample news article content 1171. This is synthetic text for training.,18,8160,968,FAKE
Sample news article content 1172. This is synthetic text for training.,2730,6391,483,FAKE
Sample news article content 1173. This is synthetic text for training.,3521,7287,1460,FAKE
Sample news article content 1174. This is synthetic text for training.,572,66,245,FAKE
Sample news article content 1175. This is synthetic text for training.,2258,8123,1881,FAKE
Sample news article content 1176. This is synthetic text for training.,2902,2750,1031,FAKE
Sample news article content 1177. This is synthetic text for training.,650,8661,151,REAL
Sample news article content 1178. This is synthetic text for training.,2587,9916,1415,FAKE
Sample news article content 1179. This is synthetic text for training.,3262,6806,210,FAKE
Sample news article content 1180. This is synthetic text for training.,1338,6429,366,REAL
Sample news article content 1181. This is synthetic text for training.,4996,8123,943,REAL
Sample news article content 1182. This is synthetic text for training.,3634,1631,1693,REAL
Sample news article content 1183. This is synthetic text for training.,2827,6452,1593,REAL
Sample news article content 1184. This is synthetic text for training.,2217,774,85,REAL
Sample news article content 1185. This is synthetic text for training.,3539,6107,1078,REAL
Sample news article content 1186. This is synthetic text for training.,1037,7804,1736,REAL
Sample news article content 1187. This is synthetic text for training.,4383,9678,1657,FAKE
Sample news article content 1188. This is synthetic text for training.,3978,4019,445,FAKE
Sample news article content 1189. This is synthetic text for training.,2961,929,619,REAL
Sample news article content 1190. This is synthetic text for training.,3226,3012,303,FAKE
Sample news article content 1191. This is synthetic text for training.,1098,5024,131,FAKE
Sample news article content 1192. This is synthetic text for training.,2324,6264,1444,FAKE
Sample news article content 1193. This is synthetic text for training.,939,7973,903,REAL
Sample news article content 1194. This is synthetic text for training.,3716,9697,1408,REAL
Sample news article content 1195. This is synthetic text for training.,3414,4729,987,FAKE
Sample news article content 1196. This is synthetic text for training.,1448,7961,1221,REAL
Sample news article content 1197. This is synthetic text for training.,570,2819,46,FAKE
Sample news article content 1198. This is synthetic text for training.,2904,6655,1763,FAKE
Sample news article content 1199. This is synthetic text for training.,2505,1184,756,FAKE
Sample news article content 1200. This is synthetic text for training.,917,8480,1226,FAKE
Sample news article content 1201. This is synthetic text for training.,1874,6343,1284,REAL
Sample news article content 1202. This is synthetic text for training.,4928,527,689,REAL
Sample news article content 1203. This is synthetic text for training.,1678,916,1047,REAL
Sample news article content 1204. This is synthetic text for training.,615,9900,686,FAKE
Sample news article content 1205. This is synthetic text for training.,4501,3574,785,REAL
Sample news article content 1206. This is synthetic text for training.,1749,3319,339,FAKE
Sample news article content 1207. This is synthetic text for training.,3825,1406,411,REAL
Sample news article content 1208. This is synthetic text for training.,4188,1241,1996,FAKE
Sample news article content 1209. This is synthetic text for training.,2477,5206,1284,FAKE
Sample news article content 1210. This is synthetic text for training.,4749,7249,285,FAKE
Sample news article content 1211. This is synthetic text for training.,3505,3133,1536,REAL
Sample news article content 1212. This is synthetic text for training.,3475,798,1109,REAL
Sample news article content 1213. This is synthetic text for training.,4529,1523,849,REAL
Sample news article content 1214. This is synthetic text for training.,1135,7209,429,REAL
Sample news article content 1215. This is synthetic text for training.,4000,4928,1604,FAKE
Sample news article content 1216. This is synthetic text for training.,374,2888,30,REAL
Sample news article content 1217. This is synthetic text for training.,206,2690,1733,REAL
Sample news article content 1218. This is synthetic text for training.,4875,4091,602,FAKE
Sample news article content 1219. This is synthetic text for training.,1319,7282,439,FAKE
Sample news article content 1220. This is synthetic text for training.,1141,9433,984,FAKE
Sample news article content 1221. This is synthetic text for training.,4627,6249,1372,REAL
Sample news article content 1222. This is synthetic text for training.,2690,690,1918,FAKE
Sample news article content 1223. This is synthetic text for training.,3255,8719,411,FAKE
Sample news article content 1224. This is synthetic text for training.,89,1495,527,FAKE
Sample news article content 1225. This is synthetic text for training.,4108,892,309,REAL
Sample news article content 1226. This is synthetic text for training.,3020,8578,948,FAKE
Sample news article content 1227. This is synthetic text for training.,1857,9441,1419,REAL
Sample news article content 1228. This is synthetic text for training.,804,5873,1811,REAL
Sample news article content 1229. This is synthetic text for training.,944,4503,1361,FAKE
Sample news article content 1230. This is synthetic text for training.,2789,897,673,FAKE
Sample news article content 1231. This is synthetic text for training.,3875,710,436,REAL
Sample news article content 1232. This is synthetic text for training.,1610,3695,703,FAKE
Sample news article content 1233. This is synthetic text for training.,2923,2686,662,FAKE
Sample news article content 1234. This is synthetic text for training.,3882,7188,364,REAL
Sample news article content 1235. This is synthetic text for training.,3221,5778,922,REAL
Sample news article content 1236. This is synthetic text for training.,4391,7768,112,FAKE
Sample news article content 1237. This is synthetic text for training.,4735,5013,1808,REAL
Sample news article content 1238. This is synthetic text for training.,2387,4512,175,FAKE
Sample news article content 1239. This is synthetic text for training.,4723,415,1172,FAKE
Sample news article content 1240. This is synthetic text for training.,941,9663,1201,FAKE
Sample news article content 1241. This is synthetic text for training.,4925,4180,935,REAL
Sample news article content 1242. This is synthetic text for training.,2566,4262,381,FAKE
Sample news article content 1243. This is synthetic text for training.,975,2515,1246,FAKE
Sample news article content 1244. This is synthetic text for training.,954,9287,1282,FAKE
Sample news article content 1245. This is synthetic text for training.,1262,9001,1808,REAL
Sample news article content 1246. This is synthetic text for training.,943,5640,1212,REAL
Sample news article content 1247. This is synthetic text for training.,2202,6616,305,REAL
Sample news article content 1248. This is synthetic text for training.,3327,992,1401,REAL
Sample news article content 1249. This is synthetic text for training.,4274,9473,601,REAL
Sample news article content 1250. This is synthetic text for training.,2259,4370,342,FAKE
Sample news article content 1251. This is synthetic text for training.,1828,1773,1797,REAL
Sample news article content 1252. This is synthetic text for training.,1257,3561,155,REAL
Sample news article content 1253. This is synthetic text for training.,464,3816,711,REAL
Sample news article content 1254. This is synthetic text for training.,3294,6633,1078,FAKE
Sample news article content 1255. This is synthetic text for training.,1230,1756,1789,REAL
Sample news article content 1256. This is synthetic text for training.,2654,2373,1465,REAL
Sample news article content 1257. This is synthetic text for training.,884,2576,1708,FAKE
Sample news article content 1258. This is synthetic text for training.,3805,9083,1223,REAL
Sample news article content 1259. This is synthetic text for training.,3856,4184,402,FAKE
Sample news article content 1260. This is synthetic text for training.,3135,8899,613,FAKE
Sample news article content 1261. This is synthetic text for training.,924,2397,796,FAKE
Sample news article content 1262. This is synthetic text for training.,4589,5969,1686,FAKE
Sample news article content 1263. This is synthetic text for training.,1546,4535,622,FAKE
Sample news article content 1264. This is synthetic text for training.,1094,6883,1951,REAL
Sample news article content 1265. This is synthetic text for training.,2411,8127,1801,FAKE
Sample news article content 1266. This is synthetic text for training.,2617,9168,602,FAKE
Sample news article content 1267. This is synthetic text for training.,762,734,176,REAL
Sample news article content 1268. This is synthetic text for training.,2323,632,448,FAKE
Sample news article content 1269. This is synthetic text for training.,4145,4268,742,REAL
Sample news article content 1270. This is synthetic text for training.,2775,4099,1564,REAL
Sample news article content 1271. This is synthetic text for training.,4659,2901,1978,REAL
Sample news article content 1272. This is synthetic text for training.,4878,1663,300,FAKE
Sample news article content 1273. This is synthetic text for training.,3155,5591,706,FAKE
Sample news article content 1274. This is synthetic text for training.,3970,3872,306,FAKE
Sample news article content 1275. This is synthetic text for training.,2040,1054,750,REAL
Sample news article content 1276. This is synthetic text for training.,583,8572,868,FAKE
Sample news article content 1277. This is synthetic text for training.,4331,3082,1919,FAKE
Sample news article content 1278. This is synthetic text for training.,2103,8007,1290,FAKE
Sample news article content 1279. This is synthetic text for training.,1942,9784,213,REAL
Sample news article content 1280. This is synthetic text for training.,4455,4261,1617,REAL
Sample news article content 1281. This is synthetic text for training.,109,2389,1663,FAKE
Sample news article content 1282. This is synthetic text for training.,191,3553,482,FAKE
Sample news article content 1283. This is synthetic text for training.,903,5138,1285,FAKE
Sample news article content 1284. This is synthetic text for training.,861,9399,1090,FAKE
Sample news article content 1285. This is synthetic text for training.,1083,544,1597,REAL
Sample news article content 1286. This is synthetic text for training.,649,3663,132,REAL
Sample news article content 1287. This is synthetic text for training.,4134,2239,1672,REAL
Sample news article content 1288. This is synthetic text for training.,3611,3773,1563,REAL
Sample news article content 1289. This is synthetic text for training.,636,2627,511,FAKE
Sample news article content 1290. This is synthetic text for training.,1036,6618,210,FAKE
Sample news article content 1291. This is synthetic text for training.,4131,6780,987,FAKE
Sample news article content 1292. This is synthetic text for training.,2148,8015,986,REAL
Sample news article content 1293. This is synthetic text for training.,3865,3130,716,FAKE
Sample news article content 1294. This is synthetic text for training.,3157,96,252,REAL
Sample news article content 1295. This is synthetic text for training.,3587,3858,37,REAL
Sample news article content 1296. This is synthetic text for training.,3294,2708,1066,FAKE
Sample news article content 1297. This is synthetic text for training.,4261,5397,628,FAKE
Sample news article content 1298. This is synthetic text for training.,2430,6152,1428,FAKE
Sample news article content 1299. This is synthetic text for training.,1879,456,986,REAL
Sample news article content 1300. This is synthetic text for training.,3966,5914,1725,FAKE
Sample news article content 1301. This is synthetic text for training.,3713,4368,45,REAL
Sample news article content 1302. This is synthetic text for training.,4126,4088,1477,FAKE
Sample news article content 1303. This is synthetic text for training.,4106,9223,1701,REAL
Sample news article content 1304. This is synthetic text for training.,2011,8399,304,REAL
Sample news article content 1305. This is synthetic text for training.,3373,1937,1738,FAKE
Sample news article content 1306. This is synthetic text for training.,2143,1146,232,REAL
Sample news article content 1307. This is synthetic text for training.,2500,5152,244,REAL
Sample news article content 1308. This is synthetic text for training.,4581,4299,1744,FAKE
Sample news article content 1309. This is synthetic text for training.,1289,8118,759,REAL
Sample news article content 1310. This is synthetic text for training.,1447,8634,1318,FAKE
Sample news article content 1311. This is synthetic text for training.,3199,7759,838,REAL
Sample news article content 1312. This is synthetic text for training.,1943,7953,1406,FAKE
Sample news article content 1313. This is synthetic text for training.,3183,4784,157,FAKE
Sample news article content 1314. This is synthetic text for training.,3216,9024,1428,REAL
Sample news article content 1315. This is synthetic text for training.,3136,1461,1024,REAL
Sample news article content 1316. This is synthetic text for training.,3318,1159,216,REAL
Sample news article content 1317. This is synthetic text for training.,2782,386,927,REAL
Sample news article content 1318. This is synthetic text for training.,990,7192,506,REAL
Sample news article content 1319. This is synthetic text for training.,4920,9910,760,FAKE
Sample news article content 1320. This is synthetic text for training.,2153,4775,903,REAL
Sample news article content 1321. This is synthetic text for training.,225,3409,580,FAKE
Sample news article content 1322. This is synthetic text for training.,776,689,1053,FAKE
Sample news article content 1323. This is synthetic text for training.,2837,7028,626,REAL
Sample news article content 1324. This is synthetic text for training.,687,7262,519,FAKE
Sample news article content 1325. This is synthetic text for training.,529,5664,1904,FAKE
Sample news article content 1326. This is synthetic text for training.,3442,6766,274,FAKE
Sample news article content 1327. This is synthetic text for training.,2153,9361,491,FAKE
Sample news article content 1328. This is synthetic text for training.,1294,952,826,REAL
Sample news article content 1329. This is synthetic text for training.,1526,6142,950,FAKE
Sample news article content 1330. This is synthetic text for training.,4774,5967,925,REAL
Sample news article content 1331. This is synthetic text for training.,2896,7205,846,REAL
Sample news article content 1332. This is synthetic text for training.,3103,2484,1059,FAKE
Sample news article content 1333. This is synthetic text for training.,2440,1854,1334,REAL
Sample news article content 1334. This is synthetic text for training.,4135,3231,1067,REAL
Sample news article content 1335. This is synthetic text for training.,3802,2597,1178,REAL
Sample news article content 1336. This is synthetic text for training.,844,7829,1100,FAKE
Sample news article content 1337. This is synthetic text for training.,446,8186,1613,REAL
Sample news article content 1338. This is synthetic text for training.,3915,3983,1636,REAL
Sample news article content 1339. This is synthetic text for training.,3109,6963,1461,REAL
Sample news article content 1340. This is synthetic text for training.,1234,6684,1455,FAKE
Sample news article content 1341. This is synthetic text for training.,226,656,1565,REAL
Sample news article content 1342. This is synthetic text for training.,4143,7743,38,FAKE
Sample news article content 1343. This is synthetic text for training.,2959,6839,238,FAKE
Sample news article content 1344. This is synthetic text for training.,1830,9988,1036,FAKE
Sample news article content 1345. This is synthetic text for training.,3779,6312,121,FAKE
Sample news article content 1346. This is synthetic text for training.,186,7938,143,FAKE
Sample news article content 1347. This is synthetic text for training.,2877,9954,683,FAKE
Sample news article content 1348. This is synthetic text for training.,2535,6176,454,REAL
Sample news article content 1349. This is synthetic text for training.,1932,3285,367,FAKE
Sample news article content 1350. This is synthetic text for training.,2924,9777,758,REAL
Sample news article content 1351. This is synthetic text for training.,848,5559,246,REAL
Sample news article content 1352. This is synthetic text for training.,2032,3563,922,FAKE
Sample news article content 1353. This is synthetic text for training.,1252,4584,1068,REAL
Sample news article content 1354. This is synthetic text for training.,1881,4817,764,REAL
Sample news article content 1355. This is synthetic text for training.,269,5041,374,REAL
Sample news article content 1356. This is synthetic text for training.,1630,6182,1314,REAL
Sample news article content 1357. This is synthetic text for training.,4405,8026,206,FAKE
Sample news article content 1358. This is synthetic text for training.,3203,3244,1947,REAL
Sample news article content 1359. This is synthetic text for training.,1574,1040,518,FAKE
Sample news article content 1360. This is synthetic text for training.,2892,2273,1981,REAL
Sample news article content 1361. This is synthetic text for training.,1695,3629,241,REAL
Sample news article content 1362. This is synthetic text for training.,3258,2114,1645,FAKE
Sample news article content 1363. This is synthetic text for training.,3262,7364,1137,REAL
Sample news article content 1364. This is synthetic text for training.,1445,1677,818,REAL
Sample news article content 1365. This is synthetic text for training.,219,3094,301,REAL
Sample news article content 1366. This is synthetic text for training.,52,9190,1299,FAKE
Sample news article content 1367. This is synthetic text for training.,1757,5873,1119,REAL
Sample news article content 1368. This is synthetic text for training.,1666,2284,1317,FAKE
Sample news article content 1369. This is synthetic text for training.,2785,5052,700,REAL
Sample news article content 1370. This is synthetic text for training.,719,7062,1383,FAKE
Sample news article content 1371. This is synthetic text for training.,405,1589,287,FAKE
Sample news article content 1372. This is synthetic text for training.,2294,9353,153,REAL
Sample news article content 1373. This is synthetic text for training.,71,2520,1593,REAL
Sample news article content 1374. This is synthetic text for training.,2053,4648,422,FAKE
Sample news article content 1375. This is synthetic text for training.,1229,5729,1939,FAKE
Sample news article content 1376. This is synthetic text for training.,1567,694,849,REAL
Sample news article content 1377. This is synthetic text for training.,3682,7807,49,FAKE
Sample news article content 1378. This is synthetic text for training.,2953,3683,1230,REAL
Sample news article content 1379. This is synthetic text for training.,4482,6704,563,REAL
Sample news article content 1380. This is synthetic text for training.,698,7368,853,REAL
Sample news article content 1381. This is synthetic text for training.,826,1971,882,REAL
Sample news article content 1382. This is synthetic text for training.,348,9695,661,FAKE
Sample news article content 1383. This is synthetic text for training.,3908,8055,564,REAL
Sample news article content 1384. This is synthetic text for training.,307,4218,212,FAKE
Sample news article content 1385. This is synthetic text for training.,3416,1868,1089,REAL
Sample news article content 1386. This is synthetic text for training.,2334,1671,1255,FAKE
Sample news article content 1387. This is synthetic text for training.,4861,9274,1908,REAL
Sample news article content 1388. This is synthetic text for training.,4820,1728,810,FAKE
Sample news article content 1389. This is synthetic text for training.,2809,7632,849,FAKE
Sample news article content 1390. This is synthetic text for training.,3558,6403,1686,REAL
Sample news article content 1391. This is synthetic text for training.,4478,6092,1740,REAL
Sample news article content 1392. This is synthetic text for training.,3477,2142,1343,REAL
Sample news article content 1393. This is synthetic text for training.,4620,9340,1790,REAL
Sample news article content 1394. This is synthetic text for training.,2686,6184,1160,FAKE
Sample news article content 1395. This is synthetic text for training.,2985,6010,880,REAL
Sample news article content 1396. This is synthetic text for training.,275,253,1670,FAKE
Sample news article content 1397. This is synthetic text for training.,2547,4102,1960,FAKE
Sample news article content 1398. This is synthetic text for training.,2764,3542,1589,REAL
Sample news article content 1399. This is synthetic text for training.,336,2775,1088,FAKE
Sample news article content 1400. This is synthetic text for training.,1973,7678,1537,FAKE
Sample news article content 1401. This is synthetic text for training.,2979,6212,1155,FAKE
Sample news article content 1402. This is synthetic text for training.,4576,4637,333,FAKE
Sample news article content 1403. This is synthetic text for training.,3968,6034,31,REAL
Sample news article content 1404. This is synthetic text for training.,910,8457,867,REAL
Sample news article content 1405. This is synthetic text for training.,1996,6476,897,REAL
Sample news article content 1406. This is synthetic text for training.,3129,3148,1895,REAL
Sample news article content 1407. This is synthetic text for training.,4204,3359,1521,FAKE
Sample news article content 1408. This is synthetic text for training.,3757,1004,1266,FAKE
Sample news article content 1409. This is synthetic text for training.,327,4717,1215,REAL
Sample news article content 1410. This is synthetic text for training.,1799,3271,1165,REAL
Sample news article content 1411. This is synthetic text for training.,314,209,1683,REAL
Sample news article content 1412. This is synthetic text for training.,3545,9079,600,FAKE
Sample news article content 1413. This is synthetic text for training.,1134,5539,1584,REAL
Sample news article content 1414. This is synthetic text for training.,2746,153,1671,REAL
Sample news article content 1415. This is synthetic text for training.,4876,3593,987,REAL
Sample news article content 1416. This is synthetic text for training.,1520,8606,1214,FAKE
Sample news article content 1417. This is synthetic text for training.,155,1284,1965,FAKE
Sample news article content 1418. This is synthetic text for training.,1724,3148,1172,FAKE
Sample news article content 1419. This is synthetic text for training.,3343,768,598,FAKE
Sample news article content 1420. This is synthetic text for training.,886,9174,1439,FAKE
Sample news article content 1421. This is synthetic text for training.,3073,5607,519,FAKE
Sample news article content 1422. This is synthetic text for training.,2805,3202,1758,FAKE
Sample news article content 1423. This is synthetic text for training.,721,2787,868,FAKE
Sample news article content 1424. This is synthetic text for training.,912,2210,15,REAL
Sample news article content 1425. This is synthetic text for training.,3357,9230,1831,REAL
Sample news article content 1426. This is synthetic text for training.,870,7399,1129,FAKE
Sample news article content 1427. This is synthetic text for training.,4108,6338,282,FAKE
Sample news article content 1428. This is synthetic text for training.,497,8733,1127,REAL
Sample news article content 1429. This is synthetic text for training.,1756,358,360,FAKE
Sample news article content 1430. This is synthetic text for training.,1117,849,1681,FAKE
Sample news article content 1431. This is synthetic text for training.,3409,7498,1058,FAKE
Sample news article content 1432. This is synthetic text for training.,2828,4522,112,REAL
Sample news article content 1433. This is synthetic text for training.,1647,2544,307,REAL
Sample news article content 1434. This is synthetic text for training.,2983,1831,1934,REAL
Sample news article content 1435. This is synthetic text for training.,142,1472,958,REAL
Sample news article content 1436. This is synthetic text for training.,2761,9628,1076,REAL
Sample news article content 1437. This is synthetic text for training.,3435,329,1882,FAKE
Sample news article content 1438. This is synthetic text for training.,4660,5851,1104,REAL
Sample news article content 1439. This is synthetic text for training.,2431,7032,1639,FAKE
Sample news article content 1440. This is synthetic text for training.,4512,5266,833,FAKE
Sample news article content 1441. This is synthetic text for training.,1848,4354,1392,REAL
Sample news article content 1442. This is synthetic text for training.,2696,6435,241,REAL
Sample news article content 1443. This is synthetic text for training.,1717,7978,30,FAKE
Sample news article content 1444. This is synthetic text for training.,3072,4238,1852,FAKE
Sample news article content 1445. This is synthetic text for training.,1067,6112,703,FAKE
Sample news article content 1446. This is synthetic text for training.,2786,4722,868,REAL
Sample news article content 1447. This is synthetic text for training.,3791,1388,1384,REAL
Sample news article content 1448. This is synthetic text for training.,1288,4185,232,REAL
Sample news article content 1449. This is synthetic text for training.,3871,8911,1633,REAL
Sample news article content 1450. This is synthetic text for training.,1806,3235,1057,REAL
Sample news article content 1451. This is synthetic text for training.,1504,4576,1266,FAKE
Sample news article content 1452. This is synthetic text for training.,3308,1100,950,REAL
Sample news article content 1453. This is synthetic text for training.,2951,8864,58,FAKE
Sample news article content 1454. This is synthetic text for training.,71,8708,770,FAKE
Sample news article content 1455. This is synthetic text for training.,1690,2532,1552,FAKE
Sample news article content 1456. This is synthetic text for training.,1344,7770,1101,REAL
Sample news article content 1457. This is synthetic text for training.,3303,3670,717,REAL
Sample news article content 1458. This is synthetic text for training.,3113,781,301,REAL
Sample news article content 1459. This is synthetic text for training.,882,3523,1701,FAKE
Sample news article content 1460. This is synthetic text for training.,4234,6131,802,FAKE
Sample news article content 1461. This is synthetic text for training.,2662,4782,896,FAKE
Sample news article content 1462. This is synthetic text for training.,1504,9781,111,FAKE
Sample news article content 1463. This is synthetic text for training.,2463,4995,1436,FAKE
Sample news article content 1464. This is synthetic text for training.,2553,1501,1923,FAKE
Sample news article content 1465. This is synthetic text for training.,732,3080,316,REAL
Sample news article content 1466. This is synthetic text for training.,1748,9268,1888,REAL
Sample news article content 1467. This is synthetic text for training.,3924,9292,1168,REAL
Sample news article content 1468. This is synthetic text for training.,423,502,667,REAL
Sample news article content 1469. This is synthetic text for training.,3478,9531,689,FAKE
Sample news article content 1470. This is synthetic text for training.,1591,3885,1881,FAKE
Sample news article content 1471. This is synthetic text for training.,4485,8009,1671,REAL
Sample news article content 1472. This is synthetic text for training.,4437,623,1953,FAKE
Sample news article content 1473. This is synthetic text for training.,4709,1050,1850,REAL
Sample news article content 1474. This is synthetic text for training.,492,7385,17,REAL
Sample news article content 1475. This is synthetic text for training.,191,6081,1374,REAL
Sample news article content 1476. This is synthetic text for training.,498,5484,1978,FAKE
Sample news article content 1477. This is synthetic text for training.,4917,3772,1178,REAL
Sample news article content 1478. This is synthetic text for training.,1256,3916,1807,REAL
Sample news article content 1479. This is synthetic text for training.,1968,4018,1529,REAL
Sample news article content 1480. This is synthetic text for training.,4322,1329,777,FAKE
Sample news article content 1481. This is synthetic text for training.,2186,4114,359,FAKE
Sample news article content 1482. This is synthetic text for training.,816,3367,331,REAL
Sample news article content 1483. This is synthetic text for training.,3220,8095,1941,FAKE
Sample news article content 1484. This is synthetic text for training.,1473,5141,527,FAKE
Sample news article content 1485. This is synthetic text for training.,1086,3951,11,FAKE
Sample news article content 1486. This is synthetic text for training.,4199,5084,1098,FAKE
Sample news article content 1487. This is synthetic text for training.,1874,1573,211,FAKE
Sample news article content 1488. This is synthetic text for training.,870,2634,1714,FAKE
Sample news article content 1489. This is synthetic text for training.,4763,2768,640,FAKE
Sample news article content 1490. This is synthetic text for training.,2042,5302,282,FAKE
Sample news article content 1491. This is synthetic text for training.,272,6250,1218,FAKE
Sample news article content 1492. This is synthetic text for training.,1029,1211,779,FAKE
Sample news article content 1493. This is synthetic text for training.,3218,8967,1053,REAL
Sample news article content 1494. This is synthetic text for training.,4069,5955,1032,REAL
Sample news article content 1495. This is synthetic text for training.,1051,1160,1332,FAKE
Sample news article content 1496. This is synthetic text for training.,4033,5977,1468,REAL
Sample news article content 1497. This is synthetic text for training.,1573,7041,1333,REAL
Sample news article content 1498. This is synthetic text for training.,3190,2383,676,FAKE
Sample news article content 1499. This is synthetic text for training.,4388,5876,704,FAKE
Sample news article content 1500. This is synthetic text for training.,3797,3540,425,FAKE
Sample news article content 1501. This is synthetic text for training.,3289,4635,1840,REAL
Sample news article content 1502. This is synthetic text for training.,3747,1095,1795,REAL
Sample news article content 1503. This is synthetic text for training.,2105,5901,1727,FAKE
Sample news article content 1504. This is synthetic text for training.,307,8215,590,FAKE
Sample news article content 1505. This is synthetic text for training.,3359,1079,1714,FAKE
Sample news article content 1506. This is synthetic text for training.,3176,8370,90,REAL
Sample news article content 1507. This is synthetic text for training.,1251,2847,455,REAL
Sample news article content 1508. This is synthetic text for training.,2747,1960,443,REAL
Sample news article content 1509. This is synthetic text for training.,1517,1473,1750,REAL
Sample news article content 1510. This is synthetic text for training.,1378,4888,78,FAKE
Sample news article content 1511. This is synthetic text for training.,4891,4979,1498,FAKE
Sample news article content 1512. This is synthetic text for training.,4992,1212,926,FAKE
Sample news article content 1513. This is synthetic text for training.,1961,5697,102,FAKE
Sample news article content 1514. This is synthetic text for training.,4305,9001,622,REAL
Sample news article content 1515. This is synthetic text for training.,2863,419,1479,REAL
Sample news article content 1516. This is synthetic text for training.,2656,3659,989,FAKE
Sample news article content 1517. This is synthetic text for training.,2494,5283,1337,FAKE
Sample news article content 1518. This is synthetic text for training.,4567,9470,1270,REAL
Sample news article content 1519. This is synthetic text for training.,4005,9632,233,FAKE
Sample news article content 1520. This is synthetic text for training.,3563,1340,1617,REAL
Sample news article content 1521. This is synthetic text for training.,922,5137,643,FAKE
Sample news article content 1522. This is synthetic text for training.,4232,5189,1258,FAKE
Sample news article content 1523. This is synthetic text for training.,4462,1361,789,FAKE
